Frequency (Hz)	Level (dB)
274.548340	-66.246437
275.221252	-62.473305
275.894165	-62.464687
276.567078	-62.961838
277.239990	-61.948921
277.912903	-62.605305
278.585815	-64.075409
279.258728	-66.197792
279.931641	-64.988785
280.604553	-64.475601
281.277466	-66.095001
281.950378	-63.279984
282.623291	-65.510246
283.296204	-65.793007
283.969116	-64.110291
284.642029	-63.802452
285.314941	-65.187691
285.987854	-66.313042
286.660767	-63.405525
287.333679	-65.071037
288.006592	-64.368317
288.679504	-66.258034
289.352417	-68.158020
290.025330	-67.717857
290.698242	-67.760956
291.371155	-65.825516
292.044067	-69.114830
292.716980	-67.100937
293.389893	-66.464706
294.062805	-67.206604
294.735718	-67.972427
295.408630	-68.237610
296.081543	-69.221840
296.754456	-67.190506
297.427368	-67.908424
298.100281	-66.052422
298.773193	-68.721626
299.446106	-69.409454
300.119019	-68.589157
300.791931	-68.985764
301.464844	-68.169319
302.137756	-66.307800
302.810669	-68.225807
303.483582	-69.977112
304.156494	-70.051170
304.829407	-66.921448
305.502319	-68.236359
306.175232	-67.791222
306.848145	-68.675774
307.521057	-70.764809
308.193970	-72.191513
308.866882	-68.752785
309.539795	-68.869942
310.212708	-69.384155
310.885620	-69.956345
311.558533	-70.584908
312.231445	-70.221329
312.904358	-69.411018
313.577271	-69.668762
314.250183	-70.512108
314.923096	-69.426689
315.596008	-68.491402
316.268921	-69.560768
316.941833	-70.099457
317.614746	-69.687332
318.287659	-71.252609
318.960571	-70.005203
319.633484	-70.804443
320.306396	-70.779068
320.979309	-71.463501
321.652222	-72.262444
322.325134	-70.672256
322.998047	-70.873779
323.670959	-72.642815
324.343872	-72.351303
325.016785	-72.539055
325.689697	-70.822861
326.362610	-70.973564
327.035522	-71.677689
327.708435	-72.775978
328.381348	-71.716827
329.054260	-71.080353
329.727173	-73.342522
330.400085	-71.232903
331.072998	-72.542114
331.745911	-73.847000
332.418823	-74.850433
333.091736	-72.991676
333.764648	-71.964279
334.437561	-71.819862
335.110474	-73.271896
335.783386	-71.771400
336.456299	-71.532181
337.129211	-73.463463
337.802124	-71.183968
338.475037	-73.918121
339.147949	-70.894302
339.820862	-70.411484
340.493774	-70.674667
341.166687	-70.585388
341.839600	-72.257301
342.512512	-72.500008
343.185425	-72.257538
343.858337	-72.425102
344.531250	-74.551407
345.204163	-73.068970
345.877075	-71.834000
346.549988	-73.082405
347.222900	-73.093628
347.895813	-72.887520
348.568726	-73.396431
349.241638	-72.030472
349.914551	-72.119286
350.587463	-71.904922
351.260376	-71.602135
351.933289	-73.357475
352.606201	-74.211067
353.279114	-73.481575
353.952026	-73.747566
354.624939	-73.357094
355.297852	-74.758926
355.970764	-74.044060
356.643677	-75.463432
357.316589	-75.408745
357.989502	-74.521820
358.662415	-73.600525
359.335327	-75.680435
360.008240	-74.677849
360.681152	-73.553589
361.354065	-74.397408
362.026978	-74.196373
362.699890	-76.268845
363.372803	-74.684624
364.045715	-72.537567
364.718628	-73.519188
365.391541	-73.830513
366.064453	-74.701401
366.737366	-73.668648
367.410278	-75.093796
368.083191	-74.243050
368.756104	-74.464211
369.429016	-72.588875
370.101929	-74.048927
370.774841	-74.498253
371.447754	-72.875671
372.120667	-73.389336
372.793579	-73.516571
373.466492	-74.749008
374.139404	-74.365997
374.812317	-74.455887
375.485229	-73.266449
376.158142	-73.521393
376.831055	-76.308807
377.503967	-74.504135
378.176880	-74.206093
378.849792	-73.110680
379.522705	-73.204056
380.195618	-74.594398
