Frequency (Hz)	Level (dB)
341.166687	-69.036041
341.839600	-68.063370
342.512512	-65.331482
343.185425	-67.723602
343.858337	-66.463463
344.531250	-65.938744
345.204163	-68.039116
345.877075	-68.017662
346.549988	-68.129532
347.222900	-69.402771
347.895813	-66.585922
348.568726	-66.010086
349.241638	-66.340645
349.914551	-65.870796
350.587463	-65.172844
351.260376	-66.946983
351.933289	-65.996521
352.606201	-66.882019
353.279114	-67.257332
353.952026	-67.597496
354.624939	-67.113747
355.297852	-67.878273
355.970764	-67.725166
356.643677	-66.267937
357.316589	-66.617989
357.989502	-67.570740
358.662415	-68.292160
359.335327	-67.773537
360.008240	-65.101486
360.681152	-67.678711
361.354065	-67.918518
362.026978	-67.458740
362.699890	-66.088669
363.372803	-67.353340
364.045715	-65.711708
364.718628	-65.914040
365.391541	-66.293648
366.064453	-66.940620
366.737366	-64.693703
367.410278	-66.831886
368.083191	-66.569565
368.756104	-65.187088
369.429016	-65.269592
370.101929	-66.226639
370.774841	-64.951126
371.447754	-63.544502
372.120667	-66.308990
372.793579	-65.750603
373.466492	-65.257507
374.139404	-65.210762
374.812317	-64.435883
375.485229	-63.923019
376.158142	-65.895195
376.831055	-65.947365
377.503967	-65.529282
378.176880	-66.073730
378.849792	-65.457626
379.522705	-62.380672
380.195618	-64.499817
380.868530	-64.623138
381.541443	-65.202942
382.214355	-64.143387
382.887268	-63.294300
383.560181	-64.879158
384.233093	-61.849121
384.906006	-63.640156
385.578918	-62.394772
386.251831	-63.218189
386.924744	-64.097733
387.597656	-62.960785
388.270569	-65.048378
388.943481	-64.298630
389.616394	-63.891602
390.289307	-63.626785
390.962219	-63.674149
391.635132	-61.556911
392.308044	-62.555916
392.980957	-63.285278
393.653870	-62.473518
394.326782	-62.946442
394.999695	-61.568970
395.672607	-62.375160
396.345520	-60.399479
397.018433	-61.760773
397.691345	-61.882923
398.364258	-62.152779
399.037170	-62.416710
399.710083	-63.194771
400.382996	-62.240959
401.055908	-62.388142
401.728821	-61.536892
402.401733	-62.271210
403.074646	-61.530666
403.747559	-60.289711
404.420471	-61.387722
405.093384	-63.186146
405.766296	-61.777603
406.439209	-60.473721
407.112122	-59.445812
407.785034	-62.454105
408.457947	-62.246132
409.130859	-59.847034
409.803772	-60.440895
410.476685	-59.255787
411.149597	-58.919056
411.822510	-61.782227
412.495422	-61.090271
413.168335	-58.948227
413.841248	-60.395519
414.514160	-60.269039
415.187073	-59.871716
415.859985	-58.243168
416.532898	-60.825447
417.205811	-56.942551
417.878723	-58.680702
418.551636	-58.674934
419.224548	-58.900101
419.897461	-59.336281
420.570374	-57.960304
421.243286	-60.015053
421.916199	-56.948902
422.589111	-55.850708
423.262024	-55.347649
423.934937	-57.410877
424.607849	-54.357861
425.280762	-55.302647
425.953674	-57.518875
426.626587	-57.183266
427.299500	-57.481922
427.972412	-56.175396
428.645325	-54.924141
429.318237	-56.180588
429.991150	-58.076920
430.664062	-55.585285
431.336975	-56.379032
432.009888	-55.115921
432.682800	-55.236118
433.355713	-55.669838
434.028625	-55.705650
434.701538	-55.283905
435.374451	-52.743618
436.047363	-56.223129
436.720276	-53.685966
437.393188	-54.705070
438.066101	-52.980141
438.739014	-52.279110
439.411926	-52.289749
440.084839	-52.803989
440.757751	-52.111462
441.430664	-51.897060
442.103577	-54.007442
442.776489	-53.743660
443.449402	-53.339218
444.122314	-51.790417
444.795227	-51.808743
445.468140	-54.403362
446.141052	-51.936527
446.813965	-52.566463
447.486877	-54.096840
448.159790	-52.138157
448.832703	-53.212852
449.505615	-53.183670
450.178528	-52.504692
450.851440	-51.380253
451.524353	-52.537575
452.197266	-53.851624
452.870178	-55.429581
453.543091	-54.843689
454.216003	-53.792568
454.888916	-54.589245
455.561829	-55.292183
456.234741	-54.994537
456.907654	-56.319550
457.580566	-57.622101
458.253479	-57.963444
458.926392	-57.701557
459.599304	-57.245140
460.272217	-58.171448
460.945129	-58.292686
461.618042	-59.585911
462.290955	-60.136017
462.963867	-58.853878
463.636780	-58.600193
464.309692	-57.684311
464.982605	-58.860966
465.655518	-58.489506
466.328430	-61.142853
467.001343	-61.098114
467.674255	-60.014893
468.347168	-61.886684
469.020081	-60.643040
469.692993	-59.877579
470.365906	-62.236004
471.038818	-63.492245
471.711731	-63.536015
472.384644	-64.413223
473.057556	-64.502960
473.730469	-63.092930
474.403381	-62.512897
475.076294	-62.841499
475.749207	-63.807716
476.422119	-63.303646
477.095032	-63.176025
477.767944	-63.320152
478.440857	-66.062210
479.113770	-66.165260
479.786682	-63.699966
480.459595	-63.993858
481.132507	-65.191689
481.805420	-64.554291
482.478333	-65.653023
483.151245	-63.156212
483.824158	-62.855659
484.497070	-64.056641
485.169983	-63.856319
485.842896	-65.006851
486.515808	-67.202400
487.188721	-66.803101
487.861633	-64.551651
488.534546	-65.206619
489.207458	-63.945030
489.880371	-65.070038
490.553284	-63.842365
491.226196	-64.765251
491.899109	-65.540733
492.572021	-66.511971
493.244934	-64.106735
493.917847	-65.362022
494.590759	-65.188858
495.263672	-66.498970
495.936584	-66.574577
496.609497	-68.405106
497.282410	-65.992447
497.955322	-67.120712
498.628235	-66.429001
499.301147	-67.289162
499.974060	-68.410347
500.646973	-66.832771
501.319885	-65.464653
501.992798	-65.416702
502.665710	-66.244827
503.338623	-67.455444
504.011536	-69.056000
504.684448	-66.294312
505.357361	-67.347710
506.030273	-67.022858
506.703186	-67.277466
507.376099	-67.683434
508.049011	-66.469574
508.721924	-68.141716
509.394836	-65.861038
510.067749	-68.254181
510.740662	-67.621719
511.413574	-69.102608
512.086487	-67.634155
512.759399	-68.313606
513.432312	-67.059563
514.105225	-66.137352
514.778137	-68.392029
515.451050	-68.578445
516.123962	-67.545982
516.796875	-65.907852
517.469788	-67.322533
518.142700	-67.823425
518.815613	-67.367767
519.488525	-68.240677
520.161438	-66.553505
520.834351	-66.812241
521.507263	-71.712326
522.180176	-68.775024
522.853088	-67.429794
523.526001	-67.248779
524.198914	-69.352966
524.871826	-68.704781
525.544739	-67.075058
526.217651	-68.474716
526.890564	-69.313019
527.563477	-70.235680
528.236389	-68.622482
528.909302	-69.352943
529.582214	-67.710014
530.255127	-67.845947
530.928040	-67.890121
531.600952	-67.376541
532.273865	-67.057701
532.946777	-69.278297
533.619690	-69.811485
534.292603	-67.838951
534.965515	-67.103157
535.638428	-70.376823
536.311340	-66.648872
536.984253	-67.968849
537.657166	-67.899864
538.330078	-68.509575
539.002991	-69.500114
539.675903	-68.760864
540.348816	-66.181564
541.021729	-68.325188
541.694641	-68.354706
542.367554	-67.222633
543.040466	-70.783035
543.713379	-70.755180
544.386292	-68.094559
545.059204	-68.776970
545.732117	-68.464539
546.405029	-68.314026
547.077942	-68.322365
547.750854	-69.554123
548.423767	-69.334114
549.096680	-68.808357
549.769592	-69.903374
550.442505	-68.653267
551.115417	-68.725220
551.788330	-69.132278
552.461243	-67.391258
553.134155	-68.643814
553.807068	-68.284088
554.479980	-68.601990
555.152893	-69.206451
555.825806	-68.672348
556.498718	-69.508804
557.171631	-68.742805
557.844543	-67.011810
558.517456	-68.441376
559.190369	-68.126289
559.863281	-70.010460
560.536194	-69.012543
561.209106	-68.005585
561.882019	-68.510651
562.554932	-68.759529
563.227844	-66.969696
563.900757	-67.283279
564.573669	-68.042175
565.246582	-69.992264
565.919495	-68.841949
566.592407	-67.118668
567.265320	-69.751740
567.938232	-68.829231
568.611145	-69.761497
569.284058	-70.997284
569.956970	-68.159889
570.629883	-68.932144
571.302795	-71.473465
571.975708	-68.744392
572.648621	-70.244194
573.321533	-68.640854
573.994446	-67.545929
574.667358	-68.008141
575.340271	-68.575546
576.013184	-70.565407
576.686096	-68.273323
577.359009	-67.249596
578.031921	-70.549561
578.704834	-68.573700
579.377747	-68.291473
580.050659	-69.906860
580.723572	-68.092384
581.396484	-67.924873
582.069397	-69.614388
582.742310	-68.163582
583.415222	-67.912628
584.088135	-70.307884
584.761047	-67.551582
585.433960	-68.555733
586.106873	-68.909103
586.779785	-67.863846
587.452698	-69.838387
588.125610	-69.305161
588.798523	-68.733498
589.471436	-70.090523
590.144348	-68.028191
590.817261	-68.658722
591.490173	-69.694603
592.163086	-71.466797
592.835999	-66.789497
593.508911	-70.279350
594.181824	-69.627831
594.854736	-67.184090
595.527649	-68.771416
596.200562	-67.877022
596.873474	-66.458298
597.546387	-68.567322
598.219299	-69.976723
