Frequency (Hz)	Level (dB)
287.333679	-61.479450
288.006592	-61.737617
288.679504	-61.865135
289.352417	-65.322662
290.025330	-63.983841
290.698242	-63.340038
291.371155	-64.842789
292.044067	-64.261086
292.716980	-63.869289
293.389893	-64.783646
294.062805	-64.926682
294.735718	-65.937935
295.408630	-65.000839
296.081543	-65.280205
296.754456	-64.410591
297.427368	-64.816566
298.100281	-64.376602
298.773193	-64.738182
299.446106	-66.908569
300.119019	-66.083046
300.791931	-67.227409
301.464844	-66.333786
302.137756	-65.344940
302.810669	-67.350723
303.483582	-67.186127
304.156494	-65.892761
304.829407	-66.890511
305.502319	-66.480324
306.175232	-66.522644
306.848145	-67.284050
307.521057	-67.173477
308.193970	-68.450554
308.866882	-68.795319
309.539795	-67.448685
310.212708	-67.995407
310.885620	-69.309418
311.558533	-68.055145
312.231445	-67.962433
312.904358	-69.255859
313.577271	-69.422562
314.250183	-69.544090
314.923096	-68.032372
315.596008	-67.443947
316.268921	-68.956505
316.941833	-68.234962
317.614746	-68.680809
318.287659	-67.711456
318.960571	-68.527374
319.633484	-68.791954
320.306396	-67.778412
320.979309	-68.352333
321.652222	-67.673347
322.325134	-67.604485
322.998047	-67.981071
323.670959	-67.822922
324.343872	-66.539650
325.016785	-67.270378
325.689697	-67.464119
326.362610	-68.165802
327.035522	-68.917328
327.708435	-68.031052
328.381348	-67.485374
329.054260	-69.059967
329.727173	-67.970352
330.400085	-66.559845
331.072998	-67.380196
331.745911	-67.320633
332.418823	-68.795334
333.091736	-69.282150
333.764648	-67.859627
334.437561	-67.429550
335.110474	-67.507698
335.783386	-69.619972
336.456299	-69.368088
337.129211	-68.970078
337.802124	-66.811981
338.475037	-68.194214
339.147949	-67.033707
339.820862	-67.762100
340.493774	-66.796738
341.166687	-66.968529
341.839600	-67.926895
342.512512	-68.773697
343.185425	-66.708794
343.858337	-67.925552
344.531250	-69.576088
345.204163	-68.694389
345.877075	-67.422035
346.549988	-69.001541
347.222900	-66.973648
347.895813	-68.108383
348.568726	-69.573067
349.241638	-67.672905
349.914551	-68.136635
350.587463	-68.689850
351.260376	-69.101898
351.933289	-67.864006
352.606201	-68.346878
353.279114	-67.965401
353.952026	-69.682426
354.624939	-68.649948
355.297852	-69.310928
355.970764	-68.561699
356.643677	-68.103233
357.316589	-67.617973
357.989502	-71.106186
358.662415	-67.966766
359.335327	-71.031036
360.008240	-69.619057
360.681152	-68.518257
361.354065	-67.522293
362.026978	-69.090614
362.699890	-69.684105
363.372803	-68.157356
364.045715	-67.887444
364.718628	-69.209373
365.391541	-68.828682
366.064453	-67.997574
366.737366	-66.538498
367.410278	-68.008369
368.083191	-68.042435
368.756104	-68.651840
369.429016	-68.272949
370.101929	-68.640465
370.774841	-68.356079
371.447754	-66.567177
372.120667	-66.810234
372.793579	-66.550552
373.466492	-67.124260
374.139404	-67.569214
374.812317	-66.538673
375.485229	-67.335403
376.158142	-67.127037
376.831055	-66.951843
377.503967	-65.250175
378.176880	-67.760956
378.849792	-65.329948
379.522705	-64.253067
380.195618	-64.348000
380.868530	-64.051483
381.541443	-65.000443
382.214355	-64.998520
382.887268	-64.963745
383.560181	-62.861504
384.233093	-63.387684
384.906006	-63.726597
385.578918	-62.648529
386.251831	-63.571701
386.924744	-62.316490
387.597656	-61.923691
388.270569	-61.905422
388.943481	-60.848961
389.616394	-61.658348
390.289307	-61.713520
390.962219	-60.250977
391.635132	-59.072151
392.308044	-59.869171
392.980957	-59.209553
393.653870	-59.788971
394.326782	-58.270824
394.999695	-57.433960
395.672607	-56.706593
396.345520	-55.140549
397.018433	-56.163605
