Frequency (Hz)	Level (dB)
364.045715	-65.684036
364.718628	-68.065971
365.391541	-65.622353
366.064453	-70.660988
366.737366	-67.906944
367.410278	-69.973625
368.083191	-68.257790
368.756104	-70.745369
369.429016	-68.344666
370.101929	-67.899109
370.774841	-68.178940
371.447754	-65.829285
372.120667	-67.718994
372.793579	-64.009613
373.466492	-65.832138
374.139404	-69.278732
374.812317	-70.915497
375.485229	-67.220207
376.158142	-68.652718
376.831055	-70.443115
377.503967	-68.866455
378.176880	-64.428650
378.849792	-65.889000
379.522705	-66.174492
380.195618	-63.791367
380.868530	-65.001572
381.541443	-67.105301
382.214355	-65.911728
382.887268	-64.829781
383.560181	-60.593372
384.233093	-62.859131
384.906006	-65.893753
385.578918	-65.816940
386.251831	-66.071358
386.924744	-61.801212
387.597656	-61.823212
388.270569	-61.901665
388.943481	-61.904396
389.616394	-61.874454
390.289307	-59.944126
390.962219	-60.759392
391.635132	-57.077709
392.308044	-59.133358
392.980957	-60.380180
393.653870	-63.084599
394.326782	-59.270527
394.999695	-59.299934
395.672607	-58.695091
396.345520	-57.590137
397.018433	-56.352242
397.691345	-55.685909
398.364258	-58.843887
399.037170	-60.374084
399.710083	-54.930695
400.382996	-53.025169
401.055908	-55.072224
401.728821	-51.146027
402.401733	-59.212559
403.074646	-50.211128
403.747559	-50.109268
404.420471	-56.248970
405.093384	-50.712589
405.766296	-55.748768
406.439209	-53.045906
407.112122	-55.029869
407.785034	-54.152538
408.457947	-54.270229
409.130859	-59.639885
409.803772	-55.810280
410.476685	-55.567837
411.149597	-53.324982
411.822510	-56.479996
412.495422	-56.040684
413.168335	-58.449856
413.841248	-56.609241
414.514160	-64.230835
415.187073	-57.707520
415.859985	-58.180531
416.532898	-59.898205
417.205811	-60.609749
417.878723	-62.995186
418.551636	-62.415222
419.224548	-61.386215
419.897461	-62.507935
420.570374	-66.420860
421.243286	-62.778385
421.916199	-59.638103
422.589111	-62.401112
423.262024	-64.999458
423.934937	-62.542667
424.607849	-66.540230
425.280762	-66.597466
425.953674	-68.017456
426.626587	-65.332870
427.299500	-67.385300
427.972412	-65.684708
428.645325	-65.656815
429.318237	-65.751205
429.991150	-66.765503
430.664062	-66.271690
431.336975	-64.506180
432.009888	-67.409081
432.682800	-67.182510
433.355713	-67.020645
434.028625	-66.083977
434.701538	-67.711563
435.374451	-70.693077
436.047363	-67.340012
436.720276	-65.531403
437.393188	-67.444466
438.066101	-67.180687
438.739014	-66.403038
439.411926	-70.724045
440.084839	-68.472122
440.757751	-67.690544
441.430664	-68.950058
442.103577	-71.284950
442.776489	-73.322594
443.449402	-71.348671
444.122314	-73.107475
444.795227	-72.011810
445.468140	-74.187408
446.141052	-70.831299
446.813965	-72.892204
447.486877	-73.500900
448.159790	-71.671547
448.832703	-71.437164
449.505615	-71.853088
450.178528	-71.755127
450.851440	-68.767464
451.524353	-71.673538
452.197266	-69.429771
452.870178	-73.713745
453.543091	-69.564697
454.216003	-70.834412
454.888916	-69.919762
455.561829	-70.222519
456.234741	-70.175186
456.907654	-66.779594
457.580566	-74.477470
458.253479	-71.916534
458.926392	-71.808304
459.599304	-72.628136
460.272217	-71.276894
460.945129	-69.393120
461.618042	-71.125595
462.290955	-70.656715
462.963867	-74.222687
463.636780	-72.853958
464.309692	-70.954224
464.982605	-72.159462
465.655518	-76.691376
466.328430	-72.402451
467.001343	-72.527580
467.674255	-69.394447
468.347168	-74.350105
469.020081	-71.174614
